2024-12-17 17:07:49.592 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Message:  Could not detect default configuration classes for test class [CalculatorServiceTest]: CalculatorServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. Request.id= Request.URI= Request.QueryParams= 

2024-12-17 21:41:52.415 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Message:  Could not detect default configuration classes for test class [CalculatorServiceTest]: CalculatorServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. Request.id= Request.URI= Request.QueryParams= 

2024-12-17 21:55:58.665 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Message:  Could not detect default configuration classes for test class [CalculatorServiceTest]: CalculatorServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. Request.id= Request.URI= Request.QueryParams= 

2024-12-17 22:06:42.004 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Message:  Could not detect default configuration classes for test class [CalculatorServiceTest]: CalculatorServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. Request.id= Request.URI= Request.QueryParams= 

2024-12-18 10:38:14.178 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Message:  Could not detect default configuration classes for test class [CalculatorServiceTest]: CalculatorServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. Request.id= Request.URI= Request.QueryParams= 

2024-12-18 10:57:50.382 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Message:  Could not detect default configuration classes for test class [CalculatorServiceTest]: CalculatorServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. Request.id= Request.URI= Request.QueryParams= 

2024-12-18 11:40:31.625 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Message:  Could not detect default configuration classes for test class [CalculatorServiceTest]: CalculatorServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. Request.id= Request.URI= Request.QueryParams= 

2024-12-18 11:41:22.811 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Message:  Could not detect default configuration classes for test class [CalculatorServiceTest]: CalculatorServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. Request.id= Request.URI= Request.QueryParams= 

2024-12-18 14:36:24.201 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Message:  Could not detect default configuration classes for test class [CalculatorServiceTest]: CalculatorServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. Request.id= Request.URI= Request.QueryParams= 

